Municipio;1996;2001;2006;2010;2011;2013;2014;2015;2016;Promedio)
Abadi�o;29.09;34.82;43.26;56.11;57.13;57.59;58.47;58.78;59.42;50.51888888888889
Abanto y Ci�rvana-Abanto Zierbena;31.0;35.43;44.64;55.96;57.36;58.27;59.47;60.05;61.09;51.474444444444444
Aduna;23.99;31.1;38.63;53.21;58.99;59.9;60.1;62.11;62.89;50.102222222222224
Ajangiz;35.01;42.42;51.78;61.04;64.29;63.52;64.01;65.69;67.54;57.25555555555556
Alegr�a-Dulantzi;31.38;39.62;50.74;65.19;64.17;65.36;65.71;65.73;66.05;57.10555555555556
Altzaga;19.54;27.17;50.39;54.48;60.45;61.03;60.87;65.28;63.38;51.39888888888889
Altzo;27.62;30.99;47.99;59.7;63.49;62.46;61.09;62.13;63.49;53.21777777777778
Amorebieta-Etxano;37.08;41.41;47.44;58.16;60.08;60.81;61.22;61.89;62.93;54.55777777777778
Amurrio;36.59;39.34;46.42;57.78;58.63;59.69;60.51;60.71;61.81;53.49777777777778
Andoain;34.5;35.83;46.22;55.05;56.55;56.99;57.39;57.94;58.71;51.02
Antzuola;40.54;38.14;53.77;64.39;64.66;65.22;66.11;66.37;67.37;58.50777777777777
Arakaldo;41.9;48.84;45.24;58.16;61.9;63.72;62.6;70.9;73.91;58.57444444444444
Arama;38.46;29.53;49.69;63.3;68.0;65.97;67.37;70.59;69.15;58.006666666666675
Aramaio;34.02;43.06;48.04;60.18;62.02;63.62;64.61;64.88;65.27;56.18888888888889
Arantzazu;40.07;46.52;55.68;63.14;65.0;69.14;70.39;67.57;70.0;60.83444444444444
Areatza;32.7;39.98;47.93;59.11;60.76;60.59;62.84;63.75;64.15;54.64555555555556
Aretxabaleta;40.25;41.97;50.34;63.03;63.54;64.47;64.96;65.23;65.9;57.74333333333334
Armi��n;34.88;39.22;38.26;53.81;62.07;63.68;60.91;66.15;64.06;53.67111111111111
Arrankudiaga;34.02;42.22;49.74;61.0;62.88;64.63;65.79;67.01;66.89;57.1311111111111
Arrasate/Mondrag�n;41.16;39.3;47.16;57.06;58.65;59.44;59.74;60.3;61.18;53.77666666666667
Arratzu;30.56;37.39;46.65;56.25;58.45;61.36;63.16;64.46;66.58;53.87333333333333
Arratzua-Ubarrundia;35.9;39.29;50.8;60.84;64.08;66.35;67.33;67.65;69.65;57.98777777777778
Arrieta;24.15;34.31;45.49;56.13;59.8;61.22;64.02;65.05;66.34;52.94555555555556
Arrigorriaga;34.38;36.61;48.12;59.42;60.13;61.0;61.55;62.22;62.37;53.97777777777778
Artea;45.83;47.41;61.36;68.58;68.88;69.67;70.83;71.96;72.04;64.06222222222223
Artzentales;29.6;37.42;47.65;57.14;60.11;59.73;60.61;60.48;61.54;52.69777777777777
Artziniega;40.52;38.82;53.73;65.97;67.72;67.02;66.99;67.38;67.81;59.55111111111111
Astigarraga;35.76;40.08;52.82;62.87;64.86;66.29;67.4;68.59;69.36;58.669999999999995
Ataun;30.68;35.25;43.92;53.62;55.75;56.98;58.73;58.53;59.02;50.275555555555556
Ayala/Aiara;31.04;36.86;47.95;60.06;61.62;62.55;63.13;63.75;64.35;54.59
Bakio;34.34;47.68;60.87;69.96;70.55;71.93;72.55;72.49;73.19;63.728888888888896
